osan_id,paakohde_tyyppi_id,paatyyppi,alakohde_tyyppi_id,alatyyppi,materiaali_id,materiaali,rakenteellinen_kunnossapito,talvikunnossapito,tkp_kiireellisyys_lk,viher_hoitoluokkka_id,laatutaso_id,yllapidon_taso,yllapidon_taso_selite,puhtaanapito,puhtaanapito_vyohyke,aluetieto,alueen_nimi,alueen_kayttotarkoitus,viheralueen_id,viheralueen_nro,katualueen_id,katualueen_nro,kadunpitopaatos_pvm,osan_nro,osan_pituus,osan_leveys,osan_pinta_ala,paivitetty_pvm,datanomistaja,paivitetty_tietopalveluun,fid,x,y
249266,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Kipparlahden silmukka,Kokoojakatu tai -tie,,,7497,5484,2005-10-01,115,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72944,25501026.4438,6675394.3622
249282,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Itä,3,Katu,Itäväylä,Pääkatu,,,8201,6109,2005-10-01,257,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72960,25501652.1832,6675683.2978
249334,32,Kalusteet ja leikkivälineet,383,Jäteastiat,3877,"Syväkeräyssäiliö, 3000 litraa, molok",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,41,,A3,Käyttö- ja suojaviheralue,Kaupunkiympäristö Itä,5,Viher,Saunalahden / Fastholman selännemetsä,Yleiskaavan viheralue,65961,3020,,,,122,0,0,0,2019-06-20,Helsinki/YLRE,2022-01-21,73007,25501645.1959,6676992.5194
249340,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1658,Keräysastia - Muu,Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,121,,C2,Ulkoilu- ja virkistysmetsä,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Yleiskaavan viheralue,65961,3020,,,,128,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,73013,25501694.9183,6677101.6404
249347,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,121,,C2,Ulkoilu- ja virkistysmetsä,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Yleiskaavan viheralue,65961,3020,,,,135,0,0,0,2018-03-27,Helsinki/YLRE,2022-01-21,73020,25501544.5026,6676801.9831
249348,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,121,,C2,Ulkoilu- ja virkistysmetsä,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Yleiskaavan viheralue,65961,3020,,,,136,0,0,0,2018-03-27,Helsinki/YLRE,2022-01-21,73021,25501522.1074,6676774.7204
249349,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1658,Keräysastia - Muu,Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,121,,C2,Ulkoilu- ja virkistysmetsä,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Yleiskaavan viheralue,65961,3020,,,,137,0,0,0,2018-03-27,Helsinki/YLRE,2022-01-21,73022,25501530.8425,6676789.3023
249429,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,101,,C1,Lähimetsä,Ei toimenpiteitä,3,Viher,Itäväylän reunapuisto,Asemakaavoitettu viheralue,67461,3084,,,,101,0,0,0,2011-02-21,Helsinki/YLRE,2022-01-21,73083,25501819.2659,6675938.2097
249433,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,101,,C1,Lähimetsä,Ei toimenpiteitä,3,Viher,Itäväylän reunapuisto,Asemakaavoitettu viheralue,67461,3084,,,,105,0,0,0,2011-02-21,Helsinki/YLRE,2022-01-21,73087,25501857.3688,6676009.6635
249438,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,41,,A3,Käyttö- ja suojaviheralue,Ei toimenpiteitä,3,Viher,Itäväylän reunapuisto,Asemakaavoitettu viheralue,67461,3084,,,,110,0,0,0,2011-02-21,Helsinki/YLRE,2022-01-21,73092,25501925.1995,6676101.2832
